,Table 3 COVID-19 in Nigeria Forecasted cases,,,,,
S/N,Date,Forecast,Lower,Upper,Official cases,Within range
1,01/06/2020,500,359,638,416,Yes
2,02/06/2020,493,347,635,241,No
3,03/06/2020,542,391,680,348,No
4,04/06/2020,554,407,704,350,No
5,05/06/2020,525,391,671,328,No
6,06/06/2020,562,416,707,389,No
7,07/06/2020,458,328,609,260,No
8,08/06/2020,505,368,635,315,No
9,09/06/2020,499,362,638,663,No
10,10/06/2020,548,416,683,409,No
11,11/06/2020,559,432,698,681,Yes
12,12/06/2020,531,389,667,627,Yes
13,13/06/2020,568,427,705,501,Yes
14,14/06/2020,464,326,602,403,Yes
15,15/06/2020,511,380,648,573,Yes
16,16/06/2020,505,355,638,490,Yes
17,17/06/2020,553,414,704,587,Yes
18,18/06/2020,565,430,715,745,No
19,19/06/2020,536,403,693,667,Yes
20,20/06/2020,573,434,714,661,Yes
21,21/06/2020,470,325,604,436,Yes
22,22/06/2020,517,371,655,675,No
23,23/06/2020,510,375,655,452,Yes
24,24/06/2020,559,417,696,649,Yes
25,25/06/2020,571,430,714,594,Yes
26,26/06/2020,542,415,694,684,Yes
27,27/06/2020,579,433,717,779,No
28,28/06/2020,476,329,620,490,No
29,29/06/2020,523,388,655,566,Yes
30,30/06/2020,516,375,646,561,Yes
31,01/07/2020,565,423,704,790,No
32,02/07/2020,577,446,717,626,Yes
33,03/07/2020,548,405,676,454,Yes
34,04/07/2020,585,447,734,603,Yes
35,05/07/2020,481,341,630,544,Yes
36,06/07/2020,528,399,677,575,Yes
37,07/07/2020,522,387,660,503,Yes
38,08/07/2020,570,429,707,460,Yes
39,09/07/2020,582,439,720,499,Yes
40,10/07/2020,553,418,690,575,Yes
41,11/07/2020,590,444,729,664,Yes
42,12/07/2020,482,341,610,571,Yes
43,13/07/2020,525,382,657,595,Yes
44,14/07/2020,513,367,653,463,Yes
45,15/07/2020,557,413,692,643,Yes
46,16/07/2020,563,420,702,595,Yes
47,17/07/2020,529,397,671,600,Yes
48,18/07/2020,560,429,701,653,Yes
49,19/07/2020,451,314,594,556,Yes
50,20/07/2020,493,356,620,562,Yes
51,21/07/2020,481,338,618,576,Yes
52,22/07/2020,524,389,672,543,Yes
53,23/07/2020,531,388,673,604,Yes
54,24/07/2020,497,358,638,591,Yes
55,25/07/2020,528,391,673,438,Yes
56,26/07/2020,419,270,566,555,Yes
57,27/07/2020,461,317,602,648,No
58,28/07/2020,449,302,585,624,No
59,29/07/2020,492,349,637,404,Yes
60,30/07/2020,499,354,639,481,Yes
61,31/07/2020,464,322,611,462,Yes
62,01/08/2020,496,352,644,386,Yes
63,02/08/2020,387,248,523,304,Yes
64,03/08/2020,429,296,576,288,No
65,04/08/2020,417,285,567,304,Yes
66,05/08/2020,460,315,599,457,Yes
67,06/08/2020,467,324,596,354,Yes
68,07/08/2020,432,284,572,443,Yes
69,08/08/2020,464,315,606,453,Yes
70,09/08/2020,355,223,496,437,Yes
71,10/08/2020,396,246,533,290,Yes
72,11/08/2020,385,248,530,423,Yes
73,12/08/2020,428,284,572,453,Yes
74,13/08/2020,434,285,567,373,Yes
75,14/08/2020,400,260,541,329,Yes
76,15/08/2020,432,291,574,325,Yes
77,16/08/2020,323,186,461,298,Yes
78,17/08/2020,364,216,512,417,Yes
79,18/08/2020,352,212,484,410,Yes
80,19/08/2020,396,251,538,593,No
81,20/08/2020,402,259,536,476,Yes
82,21/08/2020,368,228,514,340,Yes
83,22/08/2020,399,258,540,601,No
84,23/08/2020,290,150,431,322,Yes
85,24/08/2020,332,190,476,321,Yes
86,25/08/2020,320,174,459,252,Yes
87,26/08/2020,363,221,500,221,Yes
88,27/08/2020,370,224,510,296,Yes
89,28/08/2020,336,191,476,160,No
90,29/08/2020,367,221,511,250,Yes
91,30/08/2020,258,104,400,138,Yes
92,31/08/2020,300,158,446,143,No
